region_name_policy,year,population_reference,titulares,total_perceptors,validation_reference,source_year,assumption_no_change,assumption_note,nuts_code,simulation_period,coverage_rate_titular_pct,coverage_rate_total_pct
Andalusia,2017,8379820.0,29337,102680,administrative_2017,2017,False,Observed administrative counts for 2017,ES61,pre_2020,0.35009105207510427,1.2253246489781404
Aragon,2017,1308750.0,10466,25183,administrative_2017,2017,False,Observed administrative counts for 2017,ES24,pre_2020,0.799694364851958,1.9242024832855777
Asturias,2017,1034960.0,22219,68357,administrative_2017,2017,False,Observed administrative counts for 2017,ES12,pre_2020,2.1468462549277265,6.604796320630749
Balearic Islands,2017,1115999.0,7551,13154,administrative_2017,2017,False,Observed administrative counts for 2017,ES53,pre_2020,0.6766135095103132,1.178674891285745
Canary Islands,2017,2108121.0,13525,25369,administrative_2017,2017,False,Observed administrative counts for 2017,ES70,pre_2020,0.6415665893940623,1.2033939228346
Cantabria,2017,580295.0,6366,14147,administrative_2017,2017,False,Observed administrative counts for 2017,ES13,pre_2020,1.09702823563877,2.4378979656898645
Castilla-La Mancha,2017,2031479.0,3152,11146,administrative_2017,2017,False,Observed administrative counts for 2017,ES42,pre_2020,0.15515789235330515,0.5486642982772649
Castilla y Leon,2017,2425801.0,15502,36643,administrative_2017,2017,False,Observed administrative counts for 2017,ES41,pre_2020,0.6390466489213253,1.5105525968535753
Catalonia,2017,7555830.0,26311,67985,administrative_2017,2017,False,Observed administrative counts for 2017,ES51,pre_2020,0.3482211749073232,0.8997687878102074
Ceuta,2017,84959.0,263,967,administrative_2017,2017,False,Observed administrative counts for 2017,ES63,pre_2020,0.3095610824044539,1.138196071046034
Extremadura,2017,1079920.0,6316,16853,administrative_2017,2017,False,Observed administrative counts for 2017,ES43,pre_2020,0.5848581376398252,1.5605785613749166
Galicia,2017,2708339.0,14468,30512,administrative_2017,2017,False,Observed administrative counts for 2017,ES11,pre_2020,0.5342019592082085,1.1265945658944467
Madrid,2017,6507184.0,35483,117420,administrative_2017,2017,False,Observed administrative counts for 2017,ES30,pre_2020,0.5452896368075653,1.8044671858057186
Melilla,2017,86120.0,994,3855,administrative_2017,2017,False,Observed administrative counts for 2017,ES64,pre_2020,1.154203437064561,4.4763121226196
Murcia,2017,1470273.0,5421,13649,administrative_2017,2017,False,Observed administrative counts for 2017,ES62,pre_2020,0.3687070360402456,0.9283309970325239
Navarra,2017,643234.0,15918,35514,administrative_2017,2017,False,Observed administrative counts for 2017,ES22,pre_2020,2.4746826193889007,5.521163371339202
Basque Country,2017,2194158.0,76188,142029,administrative_2017,2017,False,Observed administrative counts for 2017,ES21,pre_2020,3.4723114743787824,6.473052533135718
La Rioja,2017,315381.0,2424,2424,administrative_2017,2017,False,Observed administrative counts for 2017,ES23,pre_2020,0.7685941765673899,0.7685941765673899
Valencia,2017,4941509.0,21387,51312,administrative_2017,2017,False,Observed administrative counts for 2017,ES52,pre_2020,0.43280301624463297,1.03838726186677
Andalusia,2018,,17883,40870,administrative_2018,2018,False,Observed administrative counts for 2018,ES61,pre_2020,,
Aragon,2018,,9894,23428,administrative_2018,2018,False,Observed administrative counts for 2018,ES24,pre_2020,,
Asturias,2018,,22305,45511,administrative_2018,2018,False,Observed administrative counts for 2018,ES12,pre_2020,,
Balearic Islands,2018,,9714,24824,administrative_2018,2018,False,Observed administrative counts for 2018,ES53,pre_2020,,
Canary Islands,2018,,11592,20792,administrative_2018,2018,False,Observed administrative counts for 2018,ES70,pre_2020,,
Cantabria,2018,,5365,11286,administrative_2018,2018,False,Observed administrative counts for 2018,ES13,pre_2020,,
Castilla-La Mancha,2018,,3544,8371,administrative_2018,2018,False,Observed administrative counts for 2018,ES42,pre_2020,,
Castilla y Leon,2018,,14536,33497,administrative_2018,2018,False,Observed administrative counts for 2018,ES41,pre_2020,,
Catalonia,2018,,28572,99682,administrative_2018,2018,False,Observed administrative counts for 2018,ES51,pre_2020,,
Ceuta,2018,,266,951,administrative_2018,2018,False,Observed administrative counts for 2018,ES63,pre_2020,,
Extremadura,2018,,5982,21099,administrative_2018,2018,False,Observed administrative counts for 2018,ES43,pre_2020,,
Galicia,2018,,14238,29694,administrative_2018,2018,False,Observed administrative counts for 2018,ES11,pre_2020,,
Madrid,2018,,33000,106746,administrative_2018,2018,False,Observed administrative counts for 2018,ES30,pre_2020,,
Melilla,2018,,784,3001,administrative_2018,2018,False,Observed administrative counts for 2018,ES64,pre_2020,,
Murcia,2018,,5856,14489,administrative_2018,2018,False,Observed administrative counts for 2018,ES62,pre_2020,,
Navarra,2018,,16078,36303,administrative_2018,2018,False,Observed administrative counts for 2018,ES22,pre_2020,,
Basque Country,2018,,72341,120606,administrative_2018,2018,False,Observed administrative counts for 2018,ES21,pre_2020,,
La Rioja,2018,,2941,2941,administrative_2018,2018,False,Observed administrative counts for 2018,ES23,pre_2020,,
Valencia,2018,,18411,35089,administrative_2018,2018,False,Observed administrative counts for 2018,ES52,pre_2020,,
Andalusia,2019,,22318,75539,administrative_2019,2019,False,Observed administrative counts for 2019,ES61,pre_2020,,
Aragon,2019,,9401,31520,administrative_2019,2019,False,Observed administrative counts for 2019,ES24,pre_2020,,
Asturias,2019,,21884,34821,administrative_2019,2019,False,Observed administrative counts for 2019,ES12,pre_2020,,
Balearic Islands,2019,,10449,26428,administrative_2019,2019,False,Observed administrative counts for 2019,ES53,pre_2020,,
Canary Islands,2019,,9973,17317,administrative_2019,2019,False,Observed administrative counts for 2019,ES70,pre_2020,,
Cantabria,2019,,7052,12849,administrative_2019,2019,False,Observed administrative counts for 2019,ES13,pre_2020,,
Castilla-La Mancha,2019,,4132,10246,administrative_2019,2019,False,Observed administrative counts for 2019,ES42,pre_2020,,
Castilla y Leon,2019,,13069,30007,administrative_2019,2019,False,Observed administrative counts for 2019,ES41,pre_2020,,
Catalonia,2019,,32166,108001,administrative_2019,2019,False,Observed administrative counts for 2019,ES51,pre_2020,,
Ceuta,2019,,179,640,administrative_2019,2019,False,Observed administrative counts for 2019,ES63,pre_2020,,
Extremadura,2019,,7991,20136,administrative_2019,2019,False,Observed administrative counts for 2019,ES43,pre_2020,,
Galicia,2019,,13600,27538,administrative_2019,2019,False,Observed administrative counts for 2019,ES11,pre_2020,,
Madrid,2019,,28643,91076,administrative_2019,2019,False,Observed administrative counts for 2019,ES30,pre_2020,,
Melilla,2019,,510,1875,administrative_2019,2019,False,Observed administrative counts for 2019,ES64,pre_2020,,
Murcia,2019,,6355,15479,administrative_2019,2019,False,Observed administrative counts for 2019,ES62,pre_2020,,
Navarra,2019,,15712,35899,administrative_2019,2019,False,Observed administrative counts for 2019,ES22,pre_2020,,
Basque Country,2019,,66508,111318,administrative_2019,2019,False,Observed administrative counts for 2019,ES21,pre_2020,,
La Rioja,2019,,3070,3070,administrative_2019,2019,False,Observed administrative counts for 2019,ES23,pre_2020,,
Valencia,2019,,24108,43365,administrative_2019,2019,False,Observed administrative counts for 2019,ES52,pre_2020,,
