region,program,year_ref,hh_size,benefit,max_benefit,simple_schedule,notes,nuts_code
Andalusia,Ingreso Mínimo de Solidaridad,2017,1,406.22,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,2,406.22,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,3,458.64,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,4,511.06,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,5,563.48,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,6,615.9,655.2,TRUE,NA,ES61
Andalusia,Ingreso Mínimo de Solidaridad,2017,7,655.2,655.2,TRUE,NA,ES61
Aragon,Ingreso Aragonés de Inserción,2017,1,472,707,TRUE,Apply cap at 707.00,ES24
Aragon,Ingreso Aragonés de Inserción,2017,2,613.6,707,TRUE,Apply cap at 707.00,ES24
Aragon,Ingreso Aragonés de Inserción,2017,3,708,707,TRUE,Apply cap at 707.00,ES24
Aragon,Ingreso Aragonés de Inserción,2017,4,802.4,707,TRUE,Apply cap at 707.00,ES24
Aragon,Ingreso Aragonés de Inserción,2017,5,849.6,707,TRUE,Apply cap at 707.00,ES24
Aragon,Ingreso Aragonés de Inserción,2017,6,896.8,707,TRUE,Apply cap at 707.00,ES24
Asturias,Salario Social Básico,2017,1,442.96,730.88,TRUE,NA,ES12
Asturias,Salario Social Básico,2017,2,540.41,730.88,TRUE,NA,ES12
Asturias,Salario Social Básico,2017,3,611.28,730.88,TRUE,NA,ES12
Asturias,Salario Social Básico,2017,4,682.14,730.88,TRUE,NA,ES12
Asturias,Salario Social Básico,2017,5,713.16,730.88,TRUE,NA,ES12
Asturias,Salario Social Básico,2017,6,730.88,730.88,TRUE,NA,ES12
Balearic Islands,Renta Social Garantizada,2017,1,430.36,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,2,430.36,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,3,559.47,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,4,645.54,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,5,688.58,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,6,731.61,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Balearic Islands,Renta Social Garantizada,2017,7,774.65,776.58,TRUE,Use later 2017 guaranteed-income regime,ES53
Canary Islands,Prestación Canaria de Inserción,2017,1,476.88,665.13,TRUE,NA,ES70
Canary Islands,Prestación Canaria de Inserción,2017,2,476.88,665.13,TRUE,NA,ES70
Canary Islands,Prestación Canaria de Inserción,2017,3,539.63,665.13,TRUE,NA,ES70
Canary Islands,Prestación Canaria de Inserción,2017,4,589.83,665.13,TRUE,NA,ES70
Canary Islands,Prestación Canaria de Inserción,2017,5,621.2,665.13,TRUE,NA,ES70
Canary Islands,Prestación Canaria de Inserción,2017,6,646.3,665.13,TRUE,NA,ES70
Cantabria,Renta Social Básica,2017,1,430.27,672.3,TRUE,Later 2017 values after update,ES13
Cantabria,Renta Social Básica,2017,2,430.27,672.3,TRUE,Later 2017 values after update,ES13
Cantabria,Renta Social Básica,2017,3,537.84,672.3,TRUE,Later 2017 values after update,ES13
Cantabria,Renta Social Básica,2017,4,591.63,672.3,TRUE,Later 2017 values after update,ES13
Cantabria,Renta Social Básica,2017,5,650.79,672.3,TRUE,Later 2017 values after update,ES13
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,1,420.42,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,2,420.42,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,3,470.87,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,4,521.32,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,5,571.77,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,6,622.22,723.12,TRUE,NA,ES42
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2017,7,672.67,723.12,TRUE,NA,ES42
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,1,430.27,699.19,TRUE,Later 2017 values after update,ES41
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,2,537.84,699.19,TRUE,Later 2017 values after update,ES41
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,3,602.38,699.19,TRUE,Later 2017 values after update,ES41
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,4,645.41,699.19,TRUE,Later 2017 values after update,ES41
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,5,688.44,699.19,TRUE,Later 2017 values after update,ES41
Castilla y Leon,Renta Garantizada de Ciudadanía,2017,6,699.19,699.19,TRUE,Later 2017 values after update,ES41
Catalonia,Renta Garantizada de Ciudadanía (RGC),2017,1,564,1062,TRUE,Use RGC for 2017 onward,ES51
Catalonia,Renta Garantizada de Ciudadanía (RGC),2017,2,836,1062,TRUE,Use RGC for 2017 onward,ES51
Catalonia,Renta Garantizada de Ciudadanía (RGC),2017,3,909,1062,TRUE,Use RGC for 2017 onward,ES51
Catalonia,Renta Garantizada de Ciudadanía (RGC),2017,4,982,1062,TRUE,Use RGC for 2017 onward,ES51
Catalonia,Renta Garantizada de Ciudadanía (RGC),2017,5,1062,1062,TRUE,Use RGC for 2017 onward,ES51
Ceuta,Ingreso Mínimo de Inserción Social,2017,1,300,420,TRUE,NA,ES63
Ceuta,Ingreso Mínimo de Inserción Social,2017,2,330,420,TRUE,NA,ES63
Ceuta,Ingreso Mínimo de Inserción Social,2017,3,360,420,TRUE,NA,ES63
Ceuta,Ingreso Mínimo de Inserción Social,2017,4,390,420,TRUE,NA,ES63
Ceuta,Ingreso Mínimo de Inserción Social,2017,5,420,420,TRUE,NA,ES63
Extremadura,Renta Básica Extremeña de Inserción,2017,1,430.27,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,2,430.27,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,3,537.84,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,4,591.62,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,5,645.41,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,6,672.3,726.08,TRUE,NA,ES43
Extremadura,Renta Básica Extremeña de Inserción,2017,7,699.19,726.08,TRUE,NA,ES43
Galicia,Renta de Inclusión Social (RISGA),2017,1,403.38,726.08,TRUE,Later 2017 values after update; larger sizes may need cap logic,ES11
Galicia,Renta de Inclusión Social (RISGA),2017,2,478.68,726.08,TRUE,Later 2017 values after update; larger sizes may need cap logic,ES11
Galicia,Renta de Inclusión Social (RISGA),2017,3,543.22,726.08,TRUE,Later 2017 values after update; larger sizes may need cap logic,ES11
Galicia,Renta de Inclusión Social (RISGA),2017,4,597,726.08,TRUE,Later 2017 values after update; larger sizes may need cap logic,ES11
Madrid,Renta Mínima de Inserción,2017,1,400,707.7,TRUE,Partial schedule; larger sizes use cap,ES30
Madrid,Renta Mínima de Inserción,2017,2,512.67,707.7,TRUE,Partial schedule; larger sizes use cap,ES30
Madrid,Renta Mínima de Inserción,2017,3,587.78,707.7,TRUE,Partial schedule; larger sizes use cap,ES30
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2017,1,458.64,764.4,TRUE,Combined representation for 2017,ES64
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2017,2,535.08,764.4,TRUE,Combined representation for 2017,ES64
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2017,3,611.52,764.4,TRUE,Combined representation for 2017,ES64
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2017,4,687.96,764.4,TRUE,Combined representation for 2017,ES64
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2017,5,764.4,764.4,TRUE,Combined representation for 2017,ES64
Murcia,Renta Básica de Inserción,2017,NA,NA,806.76,FALSE,Formula-based schedule; do not use direct hh_size lookup,ES62
Navarra,Renta Garantizada,2017,1,600,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,2,600,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,3,810,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,4,960,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,5,1050,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,6,1140,1200,TRUE,NA,ES22
Navarra,Renta Garantizada,2017,7,1200,1200,TRUE,NA,ES22
Basque Country,Renta de Garantía de Ingresos,2017,1,634.97,901.94,TRUE,Table amounts; report also mentions 7% budget reduction / supplements,ES21
Basque Country,Renta de Garantía de Ingresos,2017,2,634.97,901.94,TRUE,Table amounts; report also mentions 7% budget reduction / supplements,ES21
Basque Country,Renta de Garantía de Ingresos,2017,3,815.36,901.94,TRUE,Table amounts; report also mentions 7% budget reduction / supplements,ES21
Basque Country,Renta de Garantía de Ingresos,2017,4,901.94,901.94,TRUE,Table amounts; report also mentions 7% budget reduction / supplements,ES21
La Rioja,Renta de Ciudadanía,2017,1,430.27,672.3,TRUE,Use later 2017 RC values,ES23
La Rioja,Renta de Ciudadanía,2017,2,537.84,672.3,TRUE,Use later 2017 RC values,ES23
La Rioja,Renta de Ciudadanía,2017,3,618.52,672.3,TRUE,Use later 2017 RC values,ES23
La Rioja,Renta de Ciudadanía,2017,4,672.3,672.3,TRUE,Use later 2017 RC values,ES23
Valencia,Renta Garantizada de Ciudadanía,2017,1,388.51,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,2,388.51,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,3,419.84,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,4,438.64,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,5,457.44,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,6,476.24,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,7,495.04,626.03,TRUE,Partial schedule; cap applies,ES52
Valencia,Renta Garantizada de Ciudadanía,2017,8,513.84,626.03,TRUE,Partial schedule; cap applies,ES52
